agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
7.029,12.727,8.329,3.569,6.901,11.109,8.861,12.79
8.664,8.429,7.786,9.112,13.102,6.804,6.51,4.051
11.959,4.131,9.058,7.05,5.708,10.332,8.977,7.428
6.664,10.403,7.011,9.391,9.69,8.341,7.206,13.185
9.709,9.741,12.121,10.796,8.017,6.277,9.706,11.653
6.063,5.27,5.969,5.67,10.99,8.319,7.96,1.066
8.866,9.778,10.037,5.578,3.596,11.311,7.074,6.788
9.024,9.385,5.053,11.088,9.867,5.67,9.708,15.811
7.264,6.336,11.006,8.012,6.557,6.523,7.388,4.969
11.865,7.827,6.001,10.002,12.128,12.48,8.982,7.197
6.724,10.55,11.008,11.137,8.683,4.465,6.952,6.909
6.045,5.971,5.237,3.142,5.099,8.825,10.306,16.087
9.264,11.694,12.87,8.973,9.019,8.377,7.957,4.566
7.952,11.425,8.204,8.686,7.12,7.278,7.988,4.998
8.456,2.267,7.03,7.402,7.835,7.842,8.039,8.784
11.525,10.835,4.339,13.023,9.287,11.426,10.068,9.621
4.994,5.806,8.812,5.937,8.914,13.434,10.369,7.176
8.356,11.481,10.104,6.103,8.792,3.089,6.203,6.775
8.655,4.673,6.949,8.884,7.49,5.849,5.302,12.881
7.078,8.003,13.061,7.977,6.777,11.389,9.651,6.113
9.167,8.897,5.058,8.976,10.205,8.649,8.202,5.269
9.761,9.685,13.525,10.234,7.899,5.355,8.708,11.49
7.269,7.956,3.488,3.77,11.472,7.686,7.312,20.219
7.152,11.527,8.982,9.914,6.395,8.551,9.703,0.079
10.83,4.478,7.319,10.153,8.348,8.858,7.694,8.321
6.194,6.551,7.051,6.962,8.486,8.639,9.651,1.563
11.744,12.813,9.883,13.146,7.536,8.285,9.032,11.916
4.97,9.92,9.792,5.117,8.242,10.193,5.986,5.146
8.195,4.984,6.049,8.116,6.78,7.005,10.023,7.953
7.643,6.758,9.174,6.737,8.926,6.87,8.288,8.607
9.498,9.852,7.207,7.953,8.08,8.098,4.87,7.316
7.94,7.12,10.413,8.179,12.059,16.483,10.009,7.999
10.96,9.462,7.752,10.952,4.926,1.905,10.176,11.049
5.052,8.15,7.283,6.009,8.02,9.031,7.091,7.76
8.19,8.011,10.815,10.004,8.8,16.649,7.253,6.596
9.209,8.788,4.611,10.102,11.448,0.069,8.567,16.646
8.806,8.61,10.395,4.635,5.076,7.688,8.679,1.898
13.05,6.613,6.058,10.811,9.523,9.772,8.006,17.777
2.702,11.069,6.743,8.135,6.833,8.345,8.269,0.077
8.174,10.134,8.919,7.426,9.065,5.716,8.036,7.866
9.031,4.774,11.114,6.777,7.663,11.635,7.997,8.26
8.138,8.348,11.905,8.242,8.208,6.449,7.988,6.118
7.945,8.652,3.981,9.804,7.835,8.423,9.107,11.364
11.056,6.222,11.531,10.029,9.789,6.271,6.491,8.286
8.496,11.859,4.427,5.943,7.614,9.848,9.967,7.926
5.007,5.305,11.946,7.921,7.82,8.448,7.247,10.749
7.835,8.858,5.39,7.684,8.146,6.356,9.093,11.115
9.227,9.289,8.041,10.43,12.139,8.569,8.4,7.404
10.347,9.582,10.629,10.1,6.248,9.277,11.728,8.135
7.649,7.252,6.345,9.031,11.774,9.331,4.634,2.572
6.709,5.662,7.785,6.971,4.701,8.464,8.269,7.745
7.947,12.27,9.199,6.175,12.379,9.385,8.198,10.416
9.699,8.045,8.026,10.172,4.566,5.916,23.525,9.481
7.125,8.271,6.014,7.748,9.022,7.88,0.094,6.716
7.769,5.736,9.222,7.39,5.963,9.761,0.653,6.966
9.899,7.744,8.577,12.249,10.248,8.001,10.02,8.482
11.454,13.799,14.399,5.778,8.128,9.142,7.51,7.197
4.839,5.885,2.306,9.341,8.786,8.499,8.109,11.049
7.053,4.719,12.758,4.133,5.953,7.462,8.993,8.992
9.555,10.039,4.062,11.788,11.791,5.892,7.994,6.295
8.823,8.186,13.097,5.7,8.716,8.555,7.156,8.697
7.476,8.312,5.058,9.163,9.695,9.53,10.295,8.238
8.026,9.391,7.978,9.895,5.056,10.012,11.983,9.893
10.698,9.068,8.316,7.538,11.029,6,10.71,7.123
7.196,5.974,7.712,8.144,8.752,9.45,2.604,9.563
6.297,8.34,9.112,5.571,6.326,8.962,9.778,11.232
7.781,13.016,6.896,10.267,6.523,7.681,12.472,5.436
8.78,4.074,10.322,9.864,6.459,8.433,11.433,6.987
10.155,7.061,5.552,8.057,12.714,7.573,0.065,9.944
9.188,9.6,13.118,7.995,4.906,11.656,8.46,6.714
6.714,10.914,3.964,7.012,8.586,9.286,8.631,7.056
7.349,6.386,12.237,7.067,9.706,4.102,6.406,8.226
11.852,7.275,4.97,9.989,7.79,8.025,9.061,13.916
6.909,10.643,8.769,8.139,8.166,10.267,11.273,4.654
8.195,5.619,7.138,10.114,6.978,9.617,3.927,6.637
6.454,10.405,6.91,5.227,9.165,6.265,8.335,8.274
9.568,7.481,11.192,7.871,10.563,6.899,10.5,12.09
7.213,9.966,6.935,11.464,8.402,8.507,7.519,8.004
11.245,6.793,9.94,7.795,6.08,7.774,8.714,6.422
6.334,8.024,7.189,6.05,10.453,9.598,8.984,9.26
7.025,11.475,6.711,9.945,6.737,8.512,8.97,6.787
9.677,5.575,9.965,9.549,8.036,10.268,5.967,8.518
10.469,8.48,5.923,7.923,9.451,6.776,9.092,7.517
5.891,5.906,15.169,7.234,8.503,7.604,10.29,12.82
7.79,12.857,3.89,9.934,6.16,7.092,8.299,9.979
8.964,5.595,8.859,6.969,8.958,9.924,5.405,5.116
8.346,7.701,6.272,10.258,8.459,8.034,8.038,5.913
11.865,8.174,14.802,5.703,9.637,9,7.621,10.585
4.032,8.95,4.952,9.35,8.462,8.628,10.489,7.909
9.427,10.271,6.081,8.865,6.03,6.483,7.816,9.422
8.684,6.824,8.347,7.103,7.641,10.284,7.961,14.199
6.029,6.164,13.774,11.147,7.972,8.047,11.261,0.104
11.045,8.312,4.748,6.419,11.108,8.353,8.416,8.771
10.063,10.616,8.016,7.946,7.789,8.198,4.288,6.913
4.509,10.43,6.452,6.635,7.89,10.08,9.169,13.314
8.671,5.417,1236.393,8.146,8.19,6.384,8.983,2.627
8.775,8.263,0.149,15.211,9.111,7.814,7.279,9.539
12.234,10.388,0.076,7.923,8.623,10.869,11.194,11.166
5.316,10.953,0.071,3.577,7.848,6.645,5.777,6.181
12.255,4.64,3.66,7.009,8.8,7.089,8.203,7.432
4.237,7.941,0.127,12.811,9.671,7.682,8.138,12.926
9.487,8.667,0.066,4.153,5.747,9.787,7.851,10.378
8.69,15.275,0.058,12.883,9.839,8.396,10.301,0.088
5.118,0.135,0.725,3.044,6.53,10.469,7.426,10.552
11.056,8.095,0.095,10.351,9.381,5.542,7.681,8.225
5.073,10.016,2.831,6.565,8.23,8.484,10.345,7.572
11.082,7.135,0.083,8.51,10.795,7.021,7.888,9.112
9.764,6.798,3.556,8.597,5.648,9.982,7.977,6.01
