agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
29.541,29.506,28.811,31.36,33.098,45.467,30.666,26.078
31.706,27.48,31.197,30.584,31.055,15.15,28.575,26.105
30.103,35.628,31.847,26.861,26.793,29.519,35.411,39.776
29.872,25.985,26.394,33.42,30.692,29.579,25.011,24.948
30.399,28.972,32.058,26.675,30.228,29.047,29.566,29.785
32.45,29.276,30.39,31.97,30.736,30.577,33.159,25.42
26.078,30.535,29.141,35.161,32.695,33.901,28.552,33.022
29.289,34.598,32.073,24.701,27.646,34.397,27.364,32.618
32.161,33.47,28.172,32.351,27.536,22.053,30.78,27.143
28.861,21.627,29.311,27.127,30.965,32.178,28.289,28.955
31.513,28.662,29.115,35.223,30.965,29.962,29.748,29.96
27.226,31.611,32.227,36.343,29.238,31.893,31.252,28.822
30.492,29.049,28.847,22.663,36.277,26.909,33.03,36.937
34.88,36.063,27.918,29.29,26.187,36.015,33.593,24.51
25.492,28.965,30.942,28.559,27.539,25.133,23.145,32.257
31.135,28.214,34.007,29.117,28.934,31.032,30.758,26.922
34.228,28.216,28.076,29.14,38.639,25.625,29.263,29.171
26.83,30.057,27.148,28.809,32.077,33.647,33.114,31.3
27.517,30.09,29.986,31.095,19.421,28.344,31.399,30.965
30.471,32.357,29.632,37.54,33.502,28.715,30.449,32.707
31.86,26.668,35.212,23.192,28.921,30.682,32.195,29.992
34.274,29.379,26.667,28.387,28.386,30.247,24.34,23.289
22.543,31.626,27.662,38.886,32.536,29.78,29.695,30.676
31.865,29.513,31.778,23.183,26.843,30.264,29.944,29.846
31.257,30.689,31.846,32.214,32.837,29.696,30.037,36.038
27.312,30.847,28.964,29.254,34.484,36.942,36.157,26.008
32.285,28.459,27.892,28.346,24.352,23.694,28.324,33.593
27.648,29.413,29.997,30.463,27.675,32.029,28.157,29.526
32.896,28.742,28.879,32.165,33.886,29.381,27.133,32.894
28.056,32.79,34.792,27.171,29.548,32.537,34.548,24.822
30.931,29.146,27.001,32.362,31.258,26.269,25.788,38.913
29.385,29.047,28.165,26.054,31.404,28.136,30.942,22.223
29.265,29.894,33.543,30.367,31.895,32.113,29.817,29.775
29.762,31.424,29.618,35.396,24.34,31.209,26.893,34.403
30.067,28.769,27.89,24.059,27.919,37.519,34.339,29.465
32.858,35.934,30.351,29.848,29.137,33.432,40.381,30.946
28.553,26.758,29.759,29.058,32.36,16.348,16.534,21.865
27.827,28.189,31.203,38.174,28.209,32.06,29.146,36.217
