agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
3.315,1.596,1.535,2.208,1.855,2.714,1.714,1.971
1.206,1.454,1.841,2.189,1.64,2.721,3.892,2.893
0.63,1.392,2.244,2.175,3.743,8.906,4.348,1.908
0.709,4.114,1.266,2.234,2.121,3.232,4.067,1.408
1.234,1.249,1.241,2.186,1.656,3.329,4.492,1.558
1.226,1.402,1.257,2.187,3.952,3.255,2.547,5.23
1.184,1.431,0.982,2.176,3.422,5.099,2.576,1.904
0.525,1.527,1.24,2.419,3.371,3.869,4.467,2.171
0.805,1.444,1.075,2.253,2.257,2.335,2.731,6.224
0.801,0.71,1.28,2.143,2.041,9.726,5.425,2.476
3.58,0.893,1.017,2.166,1.947,2.975,3.198,4.727
0.702,0.895,1.002,2.217,3.284,2.76,2.567,2.66
0.746,0.876,1.251,2.176,2.321,4.608,4.467,5.066
1.2,1.621,2.004,4.405,2.804,2.657,4.829,5.215
1.209,1.153,1.693,2.234,2.131,5.566,2.534,5.033
1.189,1.448,1.116,2.163,3.298,2.523,2.688,2.599
0.792,0.861,1.034,2.176,2.754,2.769,2.781,10.745
0.523,0.935,1.353,3.23,2.021,2.476,2.558,3.561
1.197,0.888,1.058,4.229,1.981,2.643,3.397,3.01
0.697,0.864,1.054,2.165,1.707,2.695,5.191,1.875
1.186,0.7,1.376,2.29,1.963,2.702,3.619,4.516
1.191,0.88,1.06,6.753,2.033,2.72,4.139,2.097
0.52,0.912,1.384,2.357,3.331,2.671,2.544,2.004
0.785,0.863,1.306,2.337,7.065,2.698,2.79,1.801
0.7,0.894,1.067,2.402,1.827,5.103,2.554,4.603
0.679,0.844,2.17,2.313,2.023,2.569,4.678,2.714
0.971,1.116,1.983,2.327,2.098,2.71,4.766,2.867
3.68,1.449,1.32,2.511,3.606,8.906,2.706,2.752
0.668,1.472,1.007,2.319,2.131,2.388,5.75,2.859
0.773,1.404,1.728,2.357,3.319,2.785,3.568,2.456
0.701,2.802,0.94,2.309,3.86,5.218,3.751,5.044
0.933,0.822,0.993,2.371,3.982,2.869,6.116,2.489
0.676,0.962,2.148,2.339,1.674,4.751,2.178,8.217
1.224,1.115,1.518,2.353,1.996,5.244,2.717,3.661
0.619,1.057,1.115,2.324,1.211,4.373,4.682,3.55
0.676,1.105,1.121,2.375,1.326,2.598,1.326,4.382
0.687,4.282,1.619,2.96,1.069,8.785,1.49,5.237
0.673,1.393,1.428,3.66,1.279,3.048,3.083,3.441
0.706,1.775,1.787,2.363,1.385,3.068,3.202,2.66
0.521,1.426,1.743,1.661,1.056,5.441,2.85,3.739
1.181,1.452,3.471,3.186,2.793,3.049,5.111,5.771
0.77,1.453,1.126,1.644,3.122,5.231,3.116,6.712
0.797,1.155,2.344,1.624,2.492,3.25,2.876,4.208
1.297,0.844,1.806,1.634,1.456,5.152,3.088,7.889
0.631,0.891,1.752,1.61,3.181,2.531,3.019,2.204
0.667,1.491,0.946,1.647,2.456,2.353,3.053,3.717
0.798,0.971,0.873,1.724,1.413,2.702,2.975,2.196
1.195,0.76,1.128,1.678,1.914,2.743,3.094,2.187
0.691,1.664,0.861,1.624,1.59,5.142,2.934,2.239
3.414,1.442,1.13,1.628,1.588,2.862,4.795,3.986
0.775,1.426,0.935,3.666,1.647,2.849,3.318,2.176
0.693,1.46,0.87,3.261,1.581,5.105,2.161,2.609
0.807,1.396,1.71,2.375,1.555,5.378,4.065,2.794
0.786,1.157,1.706,3.623,3.257,2.418,3.618,4.833
0.781,1.465,1.752,2.324,1.988,3.873,3.372,2.853
0.829,1.482,1.104,2.771,3.213,2.401,2.404,2.892
0.521,1.426,1.24,2.859,3.968,2.889,3.559,1.809
0.665,1.45,1.151,3.675,1.793,8.724,5.315,2.992
0.699,1.241,3.117,2.071,3.049,2.847,4.259,1.856
0.671,0.927,1.18,2.098,3.799,1.868,2.576,1.787
1.188,0.976,1.157,2.541,1.806,1.829,2.589,1.747
0.554,1.449,1.133,2.066,3.348,6.92,4.081,1.639
0.678,2.469,1.17,2.022,1.8,2.71,4.25,1.818
0.709,4.31,1.179,2.068,1.714,2.669,2.414,6.379
1.188,0.747,1.563,2.027,3.352,2.702,2.898,3.73
1.226,0.894,2.271,1.867,2.137,2.686,2.393,3.739
1.071,0.857,2.284,2.015,2.472,4.733,2.417,4.255
0.674,0.868,5.263,3.92,2.156,2.689,2.433,4.681
1.259,1.047,2.256,2.167,3.849,2.678,1.452,4.901
0.681,0.707,1.746,2.071,2.626,2.702,3.284,3.168
0.697,0.911,1.582,2.026,3.392,4.43,1.753,4.589
3.301,0.957,1.554,2.024,2.112,3.024,3.877,4.253
1.404,0.879,1.283,2.007,2.159,3.086,5.692,4.627
0.784,0.889,1.207,2.038,1.938,2.854,2.376,2.731
0.67,0.697,1.587,1.901,1.59,3.27,1.482,5.222
0.706,1.096,0.954,3.978,1.879,3.27,1.405,2.846
1.045,0.932,0.922,2.043,1.73,2.83,3.34,5.271
1.085,0.864,0.735,2.027,1.366,3.224,3.616,1.962
1.221,1.457,0.942,2.111,3.669,3.311,3.742,1.994
0.683,1.485,0.727,2.067,1.952,3.315,2.039,1.91
0.679,1.093,2.26,3.776,1.659,3.297,2.196,2.905
3.308,1.416,0.913,1.993,3.815,9.218,2.316,2.459
1.145,1.484,0.956,2.089,1.621,3.037,2.23,4.001
1.203,1.427,0.942,2.01,2.47,6.888,2.239,4.316
0.674,0.977,0.72,2.139,3.494,1.859,2.205,4.756
0.697,2.811,2.259,2.035,3.891,1.771,2.518,4.822
0.691,0.93,0.748,2.302,1.501,3.122,3.882,3.516
0.832,0.946,0.957,2.047,1.829,3.646,3.14,2.498
1.062,0.931,0.809,2.038,3.124,5.897,3.898,1.488
0.715,0.955,1.541,2.037,1.53,3.602,3.612,3.487
1.176,0.923,1.627,1.288,1.521,3.622,2.201,1.862
1.255,0.761,1.651,4.735,3.29,3.493,2.552,1.863
0.71,1.507,0.967,5.556,1.708,3.596,2.334,12.239
0.509,1.48,0.931,2.031,1.411,3.546,3.946,2.577
1.31,1.455,2.482,3.902,1.592,3.786,4.014,4.825
1.234,1.445,1.015,3.568,2.996,5.657,2.089,2.773
0.689,1.166,0.996,3.684,1.504,3.08,5.355,2.657
0.686,1.414,0.944,6.526,3.157,3.319,5.476,4.787
1.146,1.434,0.921,2.32,2.991,5.073,2.893,4.942
1.224,1.432,0.939,2.377,1.646,3.286,2.925,2.641
0.706,1.449,1.832,2.319,1.654,3.306,2.994,2.844
0.939,1.425,2.009,2.276,1.896,5.521,3.067,5.303
1.333,1.116,1.193,4.598,3.371,3.363,2.915,4.772
3.924,1.469,1.177,2.406,3.863,3.064,2.814,2.819
0.722,1.212,1.174,2.266,1.232,5.68,2.868,2.873
1.238,0.86,1.961,4.371,1.649,3.216,3.032,2.787
1.215,0.897,1.262,2.385,5.388,3.495,1.732,2.972
0.712,4.024,1.192,2.524,3.068,3.487,6.384,2.64
1.313,0.848,1.928,2.414,1.431,3.302,3.575,3.201
1.259,0.911,1.198,2.361,6.672,2.156,2.515,2.563
0.514,0.875,1.23,2.074,1.778,1.986,2.423,3.396
0.714,0.883,1.28,3.166,2.041,3.621,4.898,3.126
0.683,2.573,4.805,2.33,1.981,3.299,3.023,3.101
0.689,1.217,1.844,2.381,1.802,5.024,3.007,2.854
1.423,1.485,1.882,2.352,1.811,6.284,3.657,2.544
1.075,0.883,1.291,2.322,1.992,3.003,4.311,2.353
0.633,0.908,1.859,2.33,1.582,2.666,3.773,2.363
1.181,0.868,1.893,2.371,1.766,4.797,2.653,2.523
0.693,0.679,1.986,2.366,1.828,5.159,5.239,3.033
0.672,0.908,1.015,2.376,2.044,5.309,2.792,5.461
0.632,0.896,1.063,2.326,1.999,2.838,2.954,2.863
0.687,0.889,1.002,2.085,2.035,3.065,2.824,5.556
1.214,0.866,1.008,2.34,1.829,3.042,1.788,2.977
0.846,0.803,0.984,2.324,1.747,2.937,3.536,3.029
0.811,0.881,1,2.573,2.074,3.089,2.407,5.846
0.674,0.89,2.602,2.31,1.546,3.055,5.826,5.611
0.697,0.882,0.969,2.299,1.772,5.207,3.467,2.938
0.508,1.477,0.984,4.452,3.796,2.851,3.382,5.573
0.706,1.362,1.329,1.546,1.548,8.585,3.469,5.241
0.692,1.188,0.983,2.92,2.035,3.023,3.203,8.261
3.308,1.583,0.993,1.555,2.033,1.711,5.703,5.659
0.708,1.42,0.997,1.494,7.292,3.114,3.027,2.919
1.125,1.435,0.973,2.798,1.59,3.585,3.71,3.565
0.958,1.644,1.018,4.388,3.625,4.155,5.548,1.89
0.683,1.186,1.007,1.894,3.947,3.603,4.253,3.811
0.664,0.934,1.513,3.667,1.658,8.158,4.377,2.812
0.826,0.961,0.976,2.798,1.882,3.219,2.762,2.19
0.627,0.976,0.973,4.296,1.849,3.227,2.584,2.21
0.675,0.933,1.002,4.144,1.757,2.791,2.662,2.102
0.791,2.745,2.577,3.63,1.687,3.247,2.564,2.154
0.728,0.861,1.069,6.713,1.885,5.614,4.733,3.421
0.7,0.95,1.065,2.401,3.279,2.04,2.496,3.314
0.518,0.931,1.029,2.36,3.333,4.619,2.529,3.502
1.155,0.996,2.613,2.903,2.219,4.608,4.63,3.88
0.701,1.118,0.992,2.328,2.041,4.78,2.678,2.681
0.674,0.748,0.975,2.678,2.185,4.252,2.68,2.856
1.179,0.952,0.991,2.337,1.99,2.106,2.721,3.795
0.515,1.537,1.005,2.299,2.247,2.802,2.649,3.961
1.356,1.42,1.054,2.367,2.009,2.296,3.688,3.148
0.702,1.454,1.054,2.557,4.295,2.289,6.056,2.541
1.212,1.543,1.002,2.33,2.103,4.851,2.421,4.467
1.186,1.135,0.955,2.296,2.124,2.873,2.417,2.508
0.841,1.432,2.624,2.336,2.797,2.822,2.29,2.536
0.725,1.417,0.961,2.451,2.216,4.697,2.44,2.557
1.068,1.443,0.993,4.386,2.299,5.08,2.147,2.401
0.679,4.362,0.968,2.328,3.711,2.5,2.456,6.008
