ticks-1-60sec,event-beat-b-or-agent-n
167100720,a4
167100723,a5
167100723,a1
167100727,a2
167100728,a7
167100729,a1
167100731,a7
167100733,a2
167100733,a3
167100733,a4
167100733,a5
167100733,a7
167100733,a7
167100733,a8
167100736,a2
167100737,a8
167100739,a7
167100743,a7
167100747,a5
167100752,a3
167100754,a8
167100755,a8
167100755,b
167100756,a2
167100756,a3
167100756,a5
167100756,a7
167100756,a8
167100756,a2
167100757,a4
167100762,a5
167100768,a2
167100775,a7
167100777,a1
167100778,a1
167100778,a2
167100778,a3
167100778,a4
167100778,a5
167100778,a6
167100778,a8
167100783,a3
167100786,a4
167100788,a6
167100790,a3
167100793,a5
167100800,a8
167100801,init
167100801,b
167100801,a2
167100801,a3
167100801,a4
167100801,a5
167100801,a6
167100801,a7
167100801,a8
167100805,a3
167100812,a7
167100814,a2
167100814,a6
167100814,a8
167100815,a8
167100823,a2
167100823,a3
167100823,a4
167100823,a6
167100823,a7
167100823,a8
167100829,a4
167100833,a6
167100836,a7
167100837,a2
167100838,a4
167100841,a3
167100845,b
167100846,a2
167100846,a2
167100846,a3
167100846,a4
167100846,a5
167100846,a6
167100846,a7
167100846,a8
167100846,a2
167100850,a5
167100852,a6
167100856,a4
167100859,a1
167100859,a8
167100861,a5
167100862,a3
167100865,a7
167100866,a7
167100867,a3
167100868,a2
167100868,a3
167100868,a4
167100868,a5
167100868,a6
167100868,a7
167100868,a8
167100868,a8
167100878,a7
167100878,a4
167100880,a5
167100881,a8
167100882,a6
167100885,a8
167100890,b
167100891,a1
167100891,a2
167100891,a3
167100891,a4
167100891,a6
167100891,a7
167100891,a7
167100891,a8
167100891,a2
167100891,a8
167100894,a2
167100899,a7
167100899,a7
167100908,a4
167100911,a6
167100913,a2
167100913,a2
167100913,a3
167100913,a4
167100913,a5
167100913,a6
167100913,a7
167100913,a8
167100913,a8
167100918,a3
167100922,a6
167100922,a7
167100924,a5
167100927,a4
167100930,a3
167100935,b
167100935,a2
167100935,a3
167100935,a4
167100935,a5
167100935,a6
167100935,a7
167100935,a8
167100936,a2
167100937,a8
167100941,a2
167100943,a6
167100944,a2
167100946,a8
167100947,a5
167100947,a4
167100948,a7
167100953,a3
167100958,a2
167100958,a3
167100958,a4
167100958,a6
167100958,a7
167100958,a8
167100962,a3
167100964,a2
167100964,a2
167100970,a6
167100972,a4
167100980,init
167100980,b
167100981,a2
167100981,a3
167100981,a5
167100981,a6
167100981,a7
167100981,a8
167100981,a2
167100985,a8
167100985,a3
167100988,a5
167100988,a7
167100993,a3
167100994,a6
167101003,a8
167101003,a1
167101003,a2
167101003,a3
167101003,a4
167101003,a5
167101003,a6
167101003,a7
167101003,a7
167101003,a8
167101009,a6
167101011,a8
167101015,a4
167101017,a5
167101021,a8
167101025,b
167101026,a1
167101026,a2
167101026,a3
167101026,a4
167101026,a5
167101026,a7
167101026,a8
167101028,a7
167101028,a3
167101032,a5
167101036,a2
167101038,a3
167101038,a4
167101043,a7
167101043,a7
167101044,a2
167101048,a2
167101048,a3
167101048,a3
167101048,a5
167101048,a7
167101048,a7
167101048,a8
167101054,a3
167101055,a5
167101063,a2
167101068,a8
167101071,b
167101071,a2
167101071,a3
167101071,a4
167101071,a6
167101071,a7
167101071,a8
167101071,a2
167101072,a7
167101072,a7
167101081,a6
167101084,a7
167101088,a3
167101089,a7
167101090,a8
167101091,a3
167101093,a1
167101093,a2
167101093,a3
167101093,a4
167101093,a5
167101093,a7
167101093,a8
167101095,a8
167101102,a4
167101105,a3
167101106,a5
167101107,a1
167101107,a8
167101108,a2
167101116,a8
167101116,b
167101116,a1
167101116,a2
167101116,a3
167101116,a4
167101116,a7
167101116,a8
167101116,a4
167101123,a3
167101127,a4
167101128,a1
167101128,a1
167101131,a7
167101137,a7
167101138,a1
167101138,a2
167101138,a3
167101138,a4
167101138,a8
167101149,a2
167101150,a4
167101150,a3
167101161,init
167101161,b
167101161,a2
167101161,a3
167101161,a4
167101161,a5
167101161,a6
167101161,a7
167101166,a2
167101167,a6
167101169,a2
167101171,a4
167101179,a1
167101182,a2
167101183,a1
167101183,a3
167101183,a4
167101183,a5
167101183,a6
167101184,a7
167101184,a7
167101184,a8
167101187,a8
167101188,a6
167101188,a3
167101192,a8
167101193,a3
167101194,a5
167101203,a5
167101204,a4
167101206,b
167101206,a2
167101206,a3
167101206,a4
167101206,a6
167101206,a7
167101206,a8
167101210,a2
167101214,a7
167101214,a7
167101214,a3
167101214,a6
167101221,a4
167101222,a7
167101224,a1
167101225,a8
167101226,a8
167101228,a2
167101228,a3
167101228,a4
167101228,a5
167101228,a6
167101228,a7
167101228,a8
167101232,a7
167101234,a2
167101237,a6
167101241,a5
167101246,a3
167101250,b
167101251,a1
167101251,a2
167101251,a3
167101251,a4
167101251,a5
167101251,a6
167101251,a7
167101251,a8
167101251,a8
167101255,a8
167101259,a4
167101259,a7
167101261,a3
167101263,a5
167101263,a8
167101265,a6
167101268,a7
167101273,a2
167101273,a3
167101273,a4
167101273,a5
167101273,a6
167101273,a7
167101273,a7
167101273,a8
167101275,a4
167101280,a6
167101286,a5
167101289,a4
167101296,b
167101296,a2
167101296,a3
167101296,a4
167101296,a5
167101296,a6
167101296,a7
167101296,a8
167101296,a7
167101298,a7
167101308,a4
167101308,a3
167101309,a5
167101309,a8
167101310,a2
167101314,a2
167101318,a1
167101318,a2
167101318,a3
167101318,a5
167101318,a6
167101318,a7
167101318,a8
