agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
13,15,20,43,11,9,31,9
9,12,12,21,8,9,11,47
9,8,19,10,16,42,10,11
9,14,8,8,19,9,20,19
9,14,9,8,11,13,47,11
11,22,8,12,10,10,39,13
10,20,11,21,17,27,9,22
15,9,15,18,8,9,10,13
11,8,13,30,16,11,16,11
12,8,17,0,23,8,11,10
9,11,18,9,12,8,18,48
11,8,9,21,10,14,8,43
8,12,54,13,9,11,10,0
9,9,24,11,8,12,35,12
13,18,0,16,9,19,31,0
8,13,10,42,15,35,13,13
7,18,7,21,19,0,0,17
20,9,16,9,19,34,8,11
12,11,11,12,17,13,14,20
12,16,10,9,13,0,9,18
8,9,10,22,31,8,18,13
12,10,17,12,24,9,15,19
11,17,9,11,23,13,14,12
10,20,13,9,22,15,37,9
15,10,45,9,10,10,30,38
9,8,24,12,0,15,10,36
11,8,22,22,11,9,10,37
10,14,17,10,10,10,33,12
12,17,14,9,9,14,0,12
9,11,17,30,17,16,12,9
11,13,8,9,41,164,12,19
12,14,9,21,24,140,13,10
15,8,17,8,24,0,13,9
14,9,9,10,24,0,7,9
9,13,9,10,24,0,11,13
10,13,22,13,14,0,14,61
9,19,39,21,0,10,31,39
11,8,18,15,16,15,13,11
15,11,10,11,12,10,49,18
8,16,18,10,18,29,31,12
12,7,14,8,11,10,0,11
10,9,10,8,20,11,11,8
9,10,11,22,19,17,10,24
9,11,7,10,17,11,15,15
10,12,10,11,9,8,14,13
11,15,17,15,44,13,14,11
15,18,17,66,23,13,10,59
8,12,9,23,9,12,8,37
11,13,9,11,8,20,9,13
9,11,50,9,9,73,12,18
11,19,19,9,12,33,29,9
9,18,21,11,13,0,10,12
18,10,9,22,9,10,11,9
13,17,8,9,11,11,13,20
10,11,12,9,12,9,14,13
7,9,11,22,13,16,11,12
28,7,37,12,10,14,12,16
26,8,16,8,58,20,11,47
9,13,28,15,26,9,13,40
18,12,19,11,13,15,12,36
8,8,15,13,10,9,12,13
34,23,11,8,11,40,9,9
